
transaction_amount,transaction_hour,merchant_category,country_risk,card_present,online_transaction,failed_attempts,transactions_last_hour,account_age_days,fraud
2472.31,22,Restaurant,1,0,1,5,10,1766,1
3185.31,23,Fuel,1,1,0,4,20,2289,1
4273.2,22,Grocery,1,0,1,0,1,1516,1
1285.31,4,Fuel,1,0,1,4,11,2120,1
2360.75,6,Grocery,0,0,1,0,19,1371,1
1278.91,17,Entertainment,0,1,0,2,17,1091,0
2181.06,1,Travel,0,1,1,2,13,1809,1
1977.79,1,Travel,0,1,1,4,18,1763,1
53.3,18,Travel,1,1,1,4,14,1744,1
1902.59,8,Travel,1,0,0,4,1,3323,0
3308.98,6,Travel,0,1,1,2,2,396,0
3991.57,9,Grocery,1,0,1,0,13,1121,1
3519.4,0,Fuel,0,0,0,2,4,3423,0
1803.96,19,Travel,1,0,0,3,7,1145,0
2532.36,6,Fuel,0,1,0,5,12,186,1
4891.47,14,Shopping,0,0,0,2,8,417,0
1020.06,8,Grocery,1,1,1,1,7,1098,0
724.92,14,Travel,0,0,0,4,6,181,0
2159.03,1,Shopping,1,1,1,0,8,2511,1
1756.14,3,Grocery,1,0,1,2,7,1667,1
1956.28,19,Entertainment,0,1,0,1,4,3368,0
3787.44,18,Entertainment,1,1,0,2,1,963,0
153.35,3,Entertainment,0,1,1,5,17,2420,1
1164.28,14,Entertainment,1,0,1,2,16,2834,1
4112.34,6,Shopping,1,1,0,0,13,2831,1
2635.61,22,Restaurant,1,1,0,3,16,2054,1
2731.79,8,Restaurant,0,1,1,5,7,964,1
1166.69,0,Entertainment,0,0,1,4,18,2989,1
3015.15,10,Electronics,0,0,1,0,18,410,1
3103.59,3,Entertainment,1,1,1,3,14,2404,1
4044.18,12,Shopping,1,1,0,5,5,2933,1
1275.75,13,Electronics,0,1,0,5,19,3435,0
4095.86,21,Grocery,0,0,0,5,4,2257,0
4177.5,12,Fuel,1,0,1,4,14,886,1
2812.74,21,Electronics,0,1,1,2,3,869,0
905.53,12,Entertainment,1,1,1,3,17,1140,1
4957.39,5,Shopping,1,0,0,0,12,882,1
4617.72,17,Fuel,1,1,0,2,1,47,0
1185.27,18,Travel,0,0,1,3,3,2956,0
849.27,22,Restaurant,0,0,0,0,5,938,0
213.87,21,Entertainment,0,1,0,0,1,1319,0
1191.18,2,Restaurant,0,1,1,5,6,454,1
3957.8,19,Entertainment,1,1,0,3,8,1948,1
1834.21,19,Electronics,1,1,0,3,10,2633,1
2154.1,0,Entertainment,0,1,1,4,9,3382,1
3748.87,8,Shopping,1,0,0,1,12,2148,1
1001.27,1,Entertainment,1,0,0,1,13,1993,1
1461.4,9,Entertainment,0,0,1,5,14,3264,1
3174.67,12,Fuel,1,1,0,0,8,1870,0
2973.0,22,Grocery,1,1,1,0,9,2305,1
1917.58,18,Shopping,1,1,0,3,14,3067,1
886.34,1,Grocery,0,1,1,3,6,1172,1
3508.37,12,Grocery,0,1,0,3,18,2876,1
3180.25,0,Travel,0,0,0,3,17,2746,1
2330.91,18,Shopping,0,0,0,3,16,341,1
4893.81,8,Travel,0,1,1,2,6,2262,0
2473.86,13,Travel,0,1,0,1,17,2862,0
3246.63,12,Shopping,0,1,0,4,3,1378,0
2360.46,11,Electronics,0,1,1,5,3,108,1
4182.98,2,Electronics,0,1,1,0,9,2227,1
3783.51,1,Entertainment,0,0,1,3,5,1391,1
3950.86,13,Travel,0,0,1,2,11,3462,1
4166.67,21,Shopping,0,1,0,4,11,2226,1
4393.54,9,Shopping,1,0,1,2,19,1738,1
2756.64,12,Shopping,0,0,1,2,7,1799,0
1184.6,10,Travel,1,0,0,2,5,3258,0
2308.91,17,Fuel,0,0,1,3,5,146,1
2909.02,21,Grocery,0,0,1,5,5,130,1
899.11,8,Travel,0,1,1,2,17,2068,0
1263.87,4,Shopping,1,0,0,2,20,1354,1
3107.85,4,Fuel,1,1,0,3,20,2732,1
88.53,20,Restaurant,0,0,1,0,9,822,0
2445.67,22,Fuel,0,0,1,0,20,1774,1
1477.45,21,Restaurant,0,1,0,0,17,253,0
166.87,0,Fuel,0,0,1,2,12,1595,1
4955.29,17,Entertainment,1,0,1,4,8,1947,1
950.98,17,Restaurant,0,0,1,0,3,2383,0
4097.65,9,Fuel,1,0,0,3,3,2446,1
3660.81,12,Travel,1,0,1,1,3,2531,1
856.73,17,Fuel,1,0,1,5,13,766,1
742.84,9,Electronics,0,0,0,3,10,2867,0
14.8,22,Travel,1,0,1,3,16,3265,1
3913.46,2,Restaurant,0,0,1,1,5,2469,1
501.83,22,Electronics,0,1,0,4,3,2745,0
4894.3,9,Entertainment,1,0,1,2,7,3429,1
1251.71,15,Entertainment,1,1,1,4,13,3407,1
893.24,10,Electronics,1,0,1,4,14,1137,1
3955.55,19,Restaurant,1,1,0,1,19,2236,1
3573.03,8,Restaurant,0,0,0,1,5,3119,0
1939.82,16,Restaurant,0,0,0,1,8,1588,0
2820.98,6,Shopping,0,1,0,2,2,2731,0
4060.19,4,Travel,1,1,1,4,2,1158,1
949.38,7,Grocery,0,1,1,0,15,2019,0
4770.73,21,Restaurant,1,1,0,3,19,544,1
1663.18,4,Electronics,1,1,1,3,18,2118,1
1587.21,4,Restaurant,0,1,0,0,14,1272,0
1127.73,21,Entertainment,0,0,0,5,8,2929,0
414.26,0,Entertainment,1,1,0,1,18,1042,1
1474.21,7,Travel,0,1,1,0,6,34,0
2988.84,14,Fuel,1,0,0,5,10,2728,1
669.9,6,Grocery,0,0,0,1,6,2350,0
2461.11,20,Electronics,1,1,1,2,12,1735,1
1857.5,14,Restaurant,0,1,0,4,16,3525,0
4620.84,7,Electronics,1,0,1,4,8,1845,1
1413.35,9,Restaurant,0,1,0,0,4,1284,0
2559.98,13,Restaurant,1,0,1,0,9,811,1
562.99,0,Fuel,1,0,1,5,14,2875,1
4887.04,19,Restaurant,0,1,1,0,7,93,0
4813.92,15,Restaurant,0,1,0,1,6,2308,0
3609.89,11,Fuel,1,0,0,5,2,2292,1
2686.93,12,Electronics,1,1,1,5,11,1775,1
2554.29,13,Restaurant,0,0,0,0,5,2859,0
1018.14,4,Grocery,1,1,0,5,13,1363,1
3553.2,9,Electronics,1,1,0,1,5,1326,0
4628.02,5,Entertainment,0,1,0,0,3,762,0
1321.25,9,Fuel,1,1,0,3,17,1603,1
2472.42,2,Restaurant,1,1,1,4,8,1808,1
762.61,7,Entertainment,0,1,1,0,12,1140,0
1624.04,21,Entertainment,1,1,0,0,12,1280,0
4160.82,23,Fuel,1,1,0,1,14,947,1
600.57,18,Shopping,1,1,0,1,2,1527,0
2445.82,9,Fuel,1,1,1,3,19,1349,1
1941.64,13,Fuel,0,1,1,4,19,2220,1
1273.83,16,Restaurant,0,0,0,4,20,2724,0
3008.95,23,Entertainment,1,1,0,2,7,2212,1
1020.8,1,Travel,0,0,0,3,6,1750,0
2399.56,6,Travel,1,1,0,5,3,519,1
4212.74,4,Restaurant,1,0,0,0,7,1613,1
1947.79,22,Travel,0,0,1,4,7,2198,1
4516.15,15,Shopping,1,0,1,4,8,2106,1
1765.44,22,Fuel,1,1,1,0,20,2843,1
138.59,14,Entertainment,1,0,1,2,12,103,1
1678.78,2,Grocery,0,1,1,1,4,1935,0
4011.61,9,Restaurant,1,1,1,0,17,134,1
4130.89,21,Travel,1,1,0,2,7,360,0
663.14,3,Travel,0,1,1,0,18,1702,1
2675.81,20,Fuel,0,1,1,3,3,2048,1
3317.85,23,Grocery,0,0,0,0,20,3375,1
330.84,3,Electronics,0,1,0,4,3,392,0
3820.55,17,Fuel,0,0,0,1,15,952,0
575.98,18,Entertainment,1,0,0,0,19,3005,0
2440.72,6,Electronics,1,1,1,3,12,683,1
2162.18,23,Electronics,1,0,0,0,15,3432,1
3008.09,4,Electronics,1,1,1,5,2,2968,1
1215.09,5,Fuel,1,0,1,2,5,3004,0
828.8,16,Entertainment,0,1,0,5,4,1998,0
368.06,16,Restaurant,0,0,0,0,8,237,0
2681.18,13,Travel,0,0,1,3,4,2530,1
4978.28,8,Restaurant,1,1,1,0,4,665,1
2804.61,7,Restaurant,1,0,1,1,11,3080,1
2432.08,15,Restaurant,1,0,1,4,15,2256,1
2222.93,7,Electronics,1,0,0,1,17,1643,1
1876.07,10,Travel,1,1,0,4,6,2301,0
2635.42,11,Fuel,0,0,1,4,4,2610,1
3497.98,22,Electronics,1,1,1,1,5,2102,1
3527.11,6,Restaurant,1,1,1,3,6,2089,1
4299.24,21,Fuel,0,0,0,4,3,122,0
4368.57,7,Entertainment,0,0,0,1,19,2470,0
2715.21,19,Grocery,0,0,1,1,11,2007,1
2012.66,6,Entertainment,0,0,1,3,6,2181,1
3144.45,11,Entertainment,0,1,1,2,15,346,1
2860.84,10,Electronics,0,0,0,2,17,204,0
971.56,4,Fuel,1,0,1,3,19,1313,1
3630.73,13,Travel,1,1,0,3,1,2713,1
2435.42,11,Grocery,0,0,0,2,10,1519,0
4697.15,14,Grocery,1,0,0,4,12,3328,1
3655.85,17,Fuel,0,0,0,2,11,3441,0
533.51,19,Shopping,0,1,0,0,12,3429,0
2593.7,7,Grocery,1,0,0,2,19,1519,1
285.07,12,Grocery,0,1,0,0,5,1994,0
281.69,11,Restaurant,1,0,0,3,17,1309,1
1038.31,19,Travel,0,1,0,2,13,2495,0
2057.4,21,Fuel,1,1,1,4,5,661,1
4668.95,17,Grocery,1,1,1,5,14,1716,1
2384.38,0,Fuel,0,0,0,1,7,1661,0
3556.94,17,Travel,1,1,1,2,6,3490,1
3022.33,20,Shopping,1,1,0,1,20,3168,1
4021.48,11,Restaurant,1,0,0,2,12,2679,1
2542.48,0,Fuel,0,1,1,0,20,116,1
4637.25,20,Grocery,1,1,0,2,10,1388,1
2005.66,3,Travel,1,0,0,2,4,1914,1
3601.17,18,Grocery,1,0,0,5,4,1082,1
3973.22,19,Electronics,1,1,0,1,18,690,1
101.09,10,Entertainment,1,1,0,0,20,384,0
3719.4,4,Restaurant,1,0,1,4,1,2965,1
1436.1,9,Grocery,0,0,0,5,6,3417,0
1441.09,14,Travel,0,0,1,4,14,549,1
4095.97,14,Electronics,1,0,1,5,9,182,1
505.72,4,Fuel,1,1,0,4,13,1456,1
2411.69,20,Fuel,0,1,1,5,13,928,1
310.74,17,Entertainment,0,0,1,0,10,3408,0
3104.22,6,Travel,0,0,0,5,12,3356,1
4031.71,7,Travel,1,1,1,2,15,1792,1
2045.99,23,Shopping,0,1,0,1,12,614,1
3980.3,1,Restaurant,1,1,1,0,6,3247,1
2236.59,19,Restaurant,0,1,0,5,13,3645,1
3049.09,4,Electronics,0,0,0,0,20,3608,1
4178.17,11,Travel,0,1,1,4,11,620,1
4063.38,8,Grocery,1,1,0,1,13,1608,1
920.88,9,Entertainment,1,0,1,1,9,434,0
4795.94,10,Electronics,1,1,1,5,1,1317,1
4599.48,17,Restaurant,0,0,0,1,2,365,0
1034.06,19,Shopping,0,0,1,1,18,1655,0
3226.52,13,Entertainment,1,1,1,2,11,3363,1
4627.02,4,Entertainment,1,1,1,4,8,1019,1
3475.04,19,Fuel,0,1,1,2,12,1031,1
3953.83,18,Grocery,1,0,1,2,7,3026,1
1709.6,20,Entertainment,1,0,1,2,9,1470,0
1825.0,12,Shopping,0,0,0,3,20,2258,0
306.35,3,Grocery,1,1,0,3,13,1421,1
406.83,11,Entertainment,1,1,1,2,17,3508,1
3709.47,1,Electronics,0,0,1,5,17,1020,1
2527.71,1,Travel,0,1,0,1,8,1394,0
4175.43,19,Fuel,1,0,1,0,14,3288,1
2879.36,12,Fuel,1,1,0,5,13,2552,1
4361.38,2,Grocery,1,0,0,4,11,3648,1
1792.0,2,Restaurant,1,1,1,1,12,1898,1
3911.61,6,Shopping,1,1,0,0,9,552,0
1992.13,14,Entertainment,0,1,0,4,2,3362,0
615.51,21,Shopping,1,0,0,0,5,3628,0
2650.84,18,Entertainment,1,0,1,3,11,1560,1
72.47,3,Travel,0,0,0,2,19,3528,0
2833.33,16,Fuel,0,0,1,5,8,2766,1
648.49,7,Entertainment,1,1,0,5,14,1112,1
3112.15,2,Travel,1,1,0,2,1,2865,1
2248.84,15,Shopping,1,0,1,2,20,2519,1
402.8,14,Fuel,1,0,1,5,5,1335,1
1994.92,15,Electronics,0,1,1,3,14,1568,1
44.75,16,Fuel,1,1,0,0,14,1307,0
2204.32,10,Fuel,1,0,0,0,13,606,1
1330.95,18,Travel,0,1,1,2,12,1093,0
1614.7,5,Entertainment,1,0,1,1,9,823,0
686.52,12,Entertainment,0,0,0,4,20,971,0
2484.14,18,Electronics,0,1,0,3,1,316,0
2963.49,1,Restaurant,1,1,0,5,9,1628,1
3544.11,4,Fuel,0,0,0,0,17,3277,1
2445.36,22,Entertainment,0,1,1,1,16,2570,1
311.63,2,Travel,1,1,0,5,5,1718,1
1554.59,11,Travel,1,1,0,1,13,1634,0
3340.45,21,Fuel,1,0,0,1,12,3462,1
2471.18,18,Entertainment,0,1,1,2,1,712,0
414.04,15,Electronics,0,1,0,2,12,3497,0
621.41,17,Grocery,0,1,1,4,8,3552,0
2963.27,18,Entertainment,0,0,0,4,19,3089,1
2661.1,15,Travel,0,1,0,4,13,1027,1
484.14,6,Entertainment,0,0,0,2,7,1117,0
3056.78,2,Restaurant,1,1,1,1,1,294,1
2039.19,1,Fuel,1,0,0,2,13,2005,1
3171.68,5,Grocery,0,1,1,3,2,2961,1
904.09,4,Travel,0,0,1,0,6,1009,0
2640.38,13,Electronics,0,0,0,4,4,159,0
3556.57,5,Travel,0,0,1,3,18,1596,1
3215.56,22,Travel,0,0,0,3,2,3254,1
1023.5,17,Restaurant,1,1,1,2,17,85,1
1646.12,6,Fuel,0,1,0,3,15,1248,0
3528.39,4,Electronics,0,1,0,1,18,3309,1
973.15,7,Travel,0,0,0,0,6,3301,0
1961.37,3,Restaurant,0,1,0,0,4,1270,0
268.85,0,Travel,0,0,0,0,7,1141,0
4640.21,10,Electronics,1,1,0,0,2,274,0
4095.77,3,Restaurant,0,0,1,4,1,1338,1
1269.91,11,Restaurant,1,1,0,4,19,342,1
2414.24,20,Restaurant,1,1,1,4,3,1929,1
1936.5,8,Restaurant,0,0,0,3,12,1201,0
209.89,15,Restaurant,0,0,0,1,3,3427,0
2166.93,5,Travel,1,1,1,0,11,1590,1
685.15,22,Travel,0,1,1,3,14,170,1
847.71,17,Fuel,1,0,1,1,5,89,0
1785.04,21,Shopping,0,1,0,5,9,2913,0
4248.69,22,Electronics,0,0,1,5,18,3453,1
3647.59,22,Fuel,0,1,0,3,6,2432,1
3567.83,17,Restaurant,1,1,1,3,19,1975,1
36.16,20,Shopping,0,0,0,5,3,2065,0
4692.09,16,Electronics,0,0,0,3,4,2249,0
1008.78,0,Shopping,0,1,1,1,15,3138,1
990.75,23,Fuel,1,1,1,1,6,2934,1
4413.39,0,Travel,0,0,0,2,16,3608,1
610.89,8,Entertainment,1,0,0,2,13,1396,0
3914.71,4,Entertainment,1,1,1,2,13,2819,1
1234.58,3,Electronics,1,0,1,0,12,1362,1
3708.97,23,Entertainment,1,0,1,4,2,3105,1
2889.71,22,Restaurant,0,1,1,5,12,2266,1
4686.44,6,Grocery,1,1,0,0,17,254,1
184.82,6,Electronics,0,0,0,4,5,2775,0
370.77,11,Grocery,1,0,0,1,18,1853,0
4386.02,3,Electronics,0,0,0,0,12,2664,1
2312.15,19,Fuel,0,1,1,0,9,1497,0
507.74,16,Grocery,1,0,1,5,15,2851,1
2471.14,2,Shopping,0,1,0,4,14,184,1
3411.26,14,Restaurant,1,1,0,2,5,2618,0
4481.57,1,Shopping,0,1,0,1,8,3212,0
4344.05,11,Shopping,1,0,1,4,20,809,1
844.98,3,Electronics,1,1,1,1,10,2848,1
2505.31,22,Restaurant,1,1,0,3,13,1579,1
1943.35,22,Grocery,0,0,1,0,4,3050,0
4317.12,15,Shopping,1,0,0,2,13,2255,1
2595.9,11,Travel,0,1,0,2,16,1540,0
50.71,15,Entertainment,1,0,0,5,12,3153,1
631.61,6,Restaurant,1,0,1,2,3,2373,0
2302.77,11,Fuel,1,1,0,3,12,681,1
2904.98,9,Electronics,1,1,1,0,3,1480,1
1892.26,12,Electronics,1,0,1,1,6,1107,0
4662.9,3,Electronics,0,1,1,0,1,2303,1
597.37,0,Electronics,1,0,1,3,14,3337,1
666.6,21,Fuel,0,1,1,4,13,3140,1
307.89,20,Shopping,1,0,0,4,14,1260,1
4380.05,11,Entertainment,0,1,0,3,15,2091,1
1497.36,14,Entertainment,1,1,1,5,7,2029,1
572.01,21,Electronics,0,1,1,4,8,428,0
1897.7,8,Electronics,0,1,1,2,20,2741,0
1494.51,21,Shopping,1,0,0,1,14,2445,0
3876.58,7,Electronics,0,0,1,2,9,384,0
4892.55,2,Fuel,1,1,1,3,1,35,1
876.8,21,Grocery,0,1,0,1,5,3079,0
3305.82,8,Fuel,0,0,0,1,14,1665,0
1480.84,1,Electronics,1,1,1,4,17,2211,1
1600.04,19,Grocery,1,1,0,0,5,222,0
4815.37,3,Electronics,1,0,1,3,7,226,1
4601.67,15,Grocery,0,0,0,3,14,2751,1
4440.4,8,Entertainment,0,1,1,3,17,1225,1
1868.29,19,Restaurant,0,0,1,3,10,1786,1
4140.74,7,Electronics,1,0,0,2,4,446,0
1868.5,5,Shopping,0,1,1,1,16,1506,0
1365.17,2,Electronics,1,0,0,3,18,3584,1
4264.88,0,Fuel,0,1,0,4,15,1148,1
4465.62,7,Electronics,1,1,1,0,3,2512,1
4280.82,12,Fuel,0,1,0,2,1,1931,0
2047.22,4,Grocery,1,0,0,2,14,2112,1
909.72,9,Grocery,0,1,0,3,9,3054,0
365.12,0,Grocery,0,0,1,4,9,1886,1
4114.61,15,Grocery,1,1,1,0,12,1379,1
2069.52,19,Electronics,0,0,0,2,19,224,0
2627.35,23,Fuel,0,0,1,4,4,1680,1
832.17,4,Shopping,0,0,1,4,1,2360,1
2984.02,6,Travel,1,1,0,5,17,2318,1
2841.68,2,Shopping,0,0,1,5,17,201,1
334.71,15,Shopping,1,1,1,5,8,2749,1
1666.06,17,Travel,1,0,1,2,2,658,0
1905.55,23,Entertainment,0,0,1,1,17,350,1
2207.16,2,Entertainment,0,1,1,5,15,1261,1
2277.72,16,Restaurant,1,0,0,0,18,499,1
883.35,14,Travel,1,1,0,1,19,3273,0
2876.76,0,Grocery,0,1,1,5,1,2826,1
3026.19,1,Fuel,0,0,1,0,11,330,1
2728.14,5,Entertainment,0,0,0,4,10,2516,1
3343.18,17,Electronics,1,0,1,0,11,1891,1
1466.15,7,Fuel,0,0,1,0,3,1304,0
3463.65,14,Entertainment,0,0,1,4,15,638,1
943.66,7,Restaurant,0,1,1,1,20,2350,0
3131.17,20,Fuel,0,1,0,5,12,257,1
1689.59,11,Restaurant,1,1,0,3,5,1300,0
1459.45,13,Entertainment,0,1,0,0,20,1584,0
2045.04,13,Fuel,0,0,0,3,10,1918,1
1140.3,6,Travel,1,1,1,0,17,469,1
4713.2,5,Grocery,1,0,0,5,5,3458,1
3685.69,23,Fuel,1,1,1,1,20,1539,1
2360.27,14,Fuel,1,1,1,5,2,2258,1
262.13,13,Electronics,0,1,0,3,2,3057,0
4863.1,10,Entertainment,0,0,0,0,13,727,0
396.73,23,Fuel,1,1,0,2,18,1143,1
1845.42,18,Restaurant,1,1,0,3,18,707,1
17.86,14,Entertainment,1,1,1,3,5,3145,1
3099.49,21,Shopping,0,1,1,2,3,1615,0
2424.77,23,Travel,1,1,0,5,17,2984,1
3462.26,13,Travel,0,0,0,5,3,3564,0
3887.61,7,Grocery,1,1,0,0,15,238,1
1936.05,14,Entertainment,1,1,0,3,14,855,1
2197.3,21,Restaurant,1,0,1,2,14,1337,1
1495.78,22,Restaurant,0,1,0,5,17,2445,1
1631.67,19,Electronics,0,0,0,1,7,3578,0
4836.04,9,Entertainment,1,0,1,4,19,1412,1
1436.68,14,Grocery,0,1,1,3,14,581,1
4914.4,0,Fuel,0,1,0,1,16,627,1
3058.54,13,Entertainment,1,0,1,2,11,2206,1
2658.8,22,Fuel,0,1,0,2,7,1489,0
3623.05,21,Entertainment,0,1,0,2,9,1271,0
4907.36,15,Grocery,1,0,0,3,7,2371,1
4555.53,10,Entertainment,1,1,0,2,20,800,1
4708.4,17,Fuel,0,0,1,4,2,608,1
1632.76,22,Electronics,0,1,0,5,11,457,1
2248.13,11,Electronics,1,1,1,4,7,2817,1
4943.45,12,Shopping,0,1,1,5,20,604,1
460.36,8,Travel,0,1,1,2,7,540,0
724.82,17,Entertainment,0,1,1,4,7,436,0
2791.82,19,Grocery,0,0,1,3,7,3385,1
3184.33,23,Travel,1,0,1,1,14,2324,1
150.51,1,Electronics,0,1,1,2,12,1208,1
2000.41,14,Fuel,1,0,1,1,4,2527,1
738.0,19,Grocery,0,1,0,2,17,2276,0
1095.06,8,Shopping,0,0,1,0,2,3376,0
44.9,1,Grocery,0,0,0,0,5,913,0
1317.27,20,Travel,0,1,1,1,1,1357,0
1040.71,0,Travel,0,1,0,5,14,2997,1
4493.76,5,Travel,1,1,1,1,5,1989,1
4342.91,18,Entertainment,0,0,0,2,4,403,0
2964.02,12,Shopping,0,1,0,5,18,2114,1
611.2,6,Grocery,1,0,0,5,6,2228,0
3962.43,21,Grocery,0,1,0,1,12,811,0
2996.48,2,Fuel,0,0,1,0,19,1165,1
1053.4,17,Entertainment,0,1,0,4,4,781,0
1827.7,2,Entertainment,1,1,1,0,9,1410,1
4963.99,18,Fuel,1,0,0,0,16,1624,1
3293.54,20,Travel,1,0,0,1,11,2503,1
3893.16,15,Electronics,0,1,0,3,12,609,1
2194.78,2,Restaurant,0,1,0,5,1,192,1
2261.9,15,Electronics,0,1,0,1,5,3220,0
3086.32,4,Electronics,0,1,1,5,1,3635,1
4209.64,21,Entertainment,1,0,1,3,9,430,1
2927.71,5,Travel,0,0,1,5,15,2889,1
4068.97,14,Shopping,0,0,1,0,3,1460,0
1195.37,13,Fuel,1,0,1,0,1,284,0
2583.29,6,Grocery,1,1,1,2,4,1346,1
1482.49,17,Electronics,0,1,0,0,10,903,0
3025.62,16,Grocery,0,1,0,1,13,916,0
1726.85,19,Restaurant,1,0,0,3,8,3325,0
1133.57,6,Grocery,0,0,1,4,10,232,1
345.01,8,Restaurant,0,0,0,3,16,172,0
1205.21,19,Fuel,0,1,0,0,16,623,0
551.5,0,Electronics,1,1,1,4,11,1863,1
1303.65,17,Electronics,1,0,1,0,4,2561,0
2129.03,11,Travel,0,0,1,0,4,2278,0
91.33,8,Restaurant,0,1,1,5,1,885,0
600.15,7,Entertainment,0,1,1,0,18,1208,0
227.51,20,Travel,1,0,1,3,13,786,1
3308.6,15,Grocery,0,1,1,1,20,44,1
1195.74,18,Grocery,0,0,1,0,15,2570,0
2880.14,1,Entertainment,1,0,1,3,12,3115,1
2904.58,14,Grocery,1,1,1,1,12,530,1
2377.6,4,Electronics,0,1,0,3,4,742,1
1754.94,14,Restaurant,1,0,0,2,10,2300,0
2795.05,23,Fuel,1,0,1,1,20,3051,1
848.07,17,Shopping,1,1,1,0,12,3580,1
4090.09,8,Travel,1,0,1,4,2,2199,1
519.44,1,Grocery,0,0,1,4,12,848,1
541.84,22,Grocery,1,1,0,3,20,2930,1
4242.7,7,Shopping,1,1,0,2,3,885,0
4372.95,23,Grocery,1,1,0,5,20,1226,1
3945.47,1,Electronics,0,0,0,1,10,869,1
3128.2,11,Grocery,0,0,1,5,18,2399,1
3948.96,3,Grocery,1,0,0,1,12,2448,1
3251.68,17,Fuel,1,0,0,3,8,3524,1
73.4,19,Electronics,0,0,0,4,13,2825,0
3940.91,12,Travel,1,0,1,3,14,1863,1
325.66,6,Shopping,1,1,0,2,10,2356,0
3866.41,4,Electronics,1,0,0,3,8,3621,1
1807.43,3,Electronics,1,1,0,4,13,3608,1
4828.8,8,Electronics,1,1,1,3,2,203,1
1260.87,19,Fuel,0,0,0,4,20,1245,0
393.96,15,Travel,1,0,0,4,6,3554,0
4964.84,22,Restaurant,0,0,1,5,11,1458,1
3205.75,14,Electronics,0,0,1,1,12,256,1
424.47,23,Travel,1,0,0,4,12,198,1
1821.81,21,Shopping,1,1,0,0,20,3348,0
4954.2,2,Shopping,1,0,0,0,3,42,1
2586.04,22,Fuel,1,1,0,1,2,1424,1
291.33,5,Restaurant,1,0,1,4,4,2490,1
1989.21,6,Shopping,1,1,0,2,1,1166,0
3958.59,7,Travel,1,1,0,2,13,565,1
4114.15,12,Fuel,0,1,0,3,12,2643,1
2625.68,5,Grocery,0,1,0,4,16,2618,1
446.91,1,Fuel,0,0,1,2,15,1741,1
3161.28,15,Entertainment,1,0,1,5,14,1742,1
3299.9,7,Travel,0,0,0,5,8,868,0
4375.86,23,Travel,1,1,1,3,16,2018,1
4402.85,5,Fuel,0,0,0,3,13,2866,1
3558.0,6,Entertainment,0,1,1,4,6,2805,1
1592.1,8,Grocery,0,1,1,3,13,1627,1
2773.67,16,Travel,0,1,1,2,17,467,1
699.14,22,Restaurant,1,0,0,5,5,3089,1
3046.12,2,Fuel,0,1,1,2,8,1467,1
4378.09,15,Fuel,1,1,0,3,16,525,1
884.59,21,Shopping,0,1,0,0,16,2741,0
1858.97,15,Travel,0,0,1,2,13,2402,0
1517.19,21,Electronics,1,0,1,2,13,2734,1
857.97,20,Grocery,0,1,0,4,4,486,0
591.32,10,Grocery,0,1,1,2,17,2764,0
